timestamp,red_teamgold,red_top_cs,red_top_k,red_top_d,red_top_a,red_notice
00:42,2.5,,,,,
01:12,2.5,,,,,
01:42,2.5,,,,,
02:12,3.3,,,,,
02:42,3.9,6.0,,,,
03:12,4.6,8.0,,,,
03:42,5.4,18.0,,,,
04:12,5.9,23.0,,,,
04:42,6.8,28.0,,,,
05:12,7.4,32.0,,,,
05:42,8.0,36.0,,,,
06:12,8.9,42.0,,,,
06:42,9.4,,,,,
07:12,9.8,46.0,,,,
07:42,10.4,47.0,,,,
,,,,,,
08:42,12.1,62.0,,,,
09:12,13.1,,,,,
09:42,13.8,70.0,,,,
10:12,14.6,72.0,,,,
10:42,15.4,79.0,,,,
11:12,16.1,84.0,,,,
11:42,16.7,88.0,,,,
12:12,17.8,92.0,,,,
12:42,18.3,97.0,,,,
13:12,19.1,103.0,,,,
13:42,20.8,104.0,,,,
,,,,,,
14:42,22.3,116.0,,,,
15:12,23.1,,,,,
15:42,24.1,125.0,,,,
16:12,25.5,133.0,,,,
16:42,26.2,133.0,,,,
17:12,27.0,133.0,,,,
17:42,28.4,144.0,,,,
18:12,29.2,146.0,,,,
18:42,29.6,,,,,
19:12,30.9,,,,,
,,,,,,
,,,,,,
20:42,33.1,151.0,,,,
21:12,34.1,162.0,,,,
21:42,34.8,166.0,,,,
22:12,35.5,,,,,
22:42,36.4,177.0,,,,
23:12,37.2,,,,,
23:42,37.9,189.0,,,,
24:12,38.3,,,,,
24:42,38.9,189.0,,,,
,,,,,,
25:42,40.7,,,,,
26:12,41.4,,,,,
26:42,42.2,,,,,
27:12,,,,,,turret
